Name,Price,Rating,Reviews,URL,Description,ASIN,Product Description,Manufacturer
"uppercase Apex Professional Laptop Backpack (15.6 Inch) 3x more water resistant sustainable bags with rain proof zippers for Men, Women, Boys and Girls, 750 Days warranty","1,800",4.3 out of 5 stars,66,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo0OTg4ODkzODgwOTc4MzUxOjE2OTAyODYxNjk6c3BfYXRmOjIwMTI1ODk5OTIwNjk4OjowOjo&url=%2Fuppercase-Professional-Backpack-resistant-sustainable%2Fdp%2FB0BWNBQXDZ%2Fref%3Dsr_1_1_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1690286169%26sprefix%3Dba%252Caps%252C283%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,"Care Instructions: Wipe with Damp Cloth
Handcrafted with care and made up of premium quality robust material
Padded laptop compartment fits up to 15.6"" Laptop, Back padding with Air mesh; Front access pocket for you to easily carry important small items with a bottle holder on the side
Wrinkle free bag and 3x more water resistant with Rainproof zippers; Trolley sleeve to securely place the bags on the luggage; Top Slip In Pocket
GRS certified for sustainability; The GRS (Global Recycled Standard) is intended for use with any product that contains at least 50% Recycled Material (License No. CMPY-158596); 750 days of international warranty",B0BWNBQXDZ,None,Acefour Accessories Pvt. Ltd.
uppercase 14 Ltrs Medium (14.6 Inch) Laptop Backpack 2100EBP1 Roll Top Office College 3x More Water Repellent Sustainable Bags With Rainproof Zippers For Unisex,"1,350",4.2 out of 5 stars,167,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo0OTg4ODkzODgwOTc4MzUxOjE2OTAyODYxNjk6c3BfYXRmOjIwMDgxNDM1MDg0MTk4OjowOjo&url=%2Fuppercase-Medium-Laptop-Backpack-2100EBP1%2Fdp%2FB0B5NBLGBQ%2Fref%3Dsr_1_2_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1690286169%26sprefix%3Dba%252Caps%252C283%26sr%3D8-2-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,"Care Instructions: Hand Wash Only
Handcrafted with care and made up of premium quality robust material",B0B5NBLGBQ,"If you feel all backpacks are just the same old boring black and grey bags, read on. Especially if you are stylish and are looking for one that will complement your style. This handcrafted uppercase RollTop Laptop Backpack is the perfect stylish, sleek, and sturdy yet lightweight laptop backpack. It is large enough to hold a 15"" laptop and leave you more than enough space to pack your other essentials. It is visually striking with a classic European design. Whether you are a college student or a working professional, this is the ideal everyday backpack. Designed with care - Spacious compartment that can carry 3+ A4-sized books or a set of clothes, and all your essential chargers and electronics. - Internal organiser to store your power bank and cables. - Front access pocket to easily carry important small items. - Bottle holder on the side. - Convenient trolley sleeve on the back allows it to be securely placed on a trolley for longer journeys. - Superior material quality - Premium Nylon-sheen fabric gives the backpack a smooth and glossy feel that is a joy to touch. - Air mesh on the back optimises breathability and regulates temperature while you wear the backpack. Designed for good - A promise of sustainable and ethical production uppercase is committed to partnering with you in building a world more beautiful. All our products are made from sustainable materials and are GRS (Global Recycle Standard) certified. Our manufacturing processes conform to the highest and most stringent GRS criteria. We ensure fixed working hours, minimum wages, and no child labour. We maintain strict standards in factory safety, energy management, and waste disposal management. We do not use any restricted or harmful chemicals. Every Roll Top Laptop Backpack bought helps reduce 9 1-litre plastic bottles from the planet, helps conserve 117ml of crude oil, and prevents 584g of CO₂ emission. * *Approximate calculations based on information available on www.textilevaluechain.in",Acefour Accessories Pvt. Ltd.
American Tourister Fizz Large Size 32 Ltrs Casual Backpack (BLACK),"1,199",4.0 out of 5 stars,"54,992",https://www.amazon.in/gp/bestsellers/luggage/2917444031/ref=sr_bs_2_2917444031_1,None,B07CJCGM1M,None,
Skybags Brat Black 46 Cms Casual Backpack,669,4.1 out of 5 stars,"5,208",https://www.amazon.in/Skybags-Brat-Black-Casual-Backpack/dp/B08Z1HHHTD/ref=sr_1_4?crid=2M096C61O4MLT&keywords=bags&qid=1690286169&sprefix=ba%2Caps%2C283&sr=8-4,"Care Instructions: Hand Wash Only
Combination of functional & safety features in stylish design, Soft mesh back with 8 mm foam padded 2 Main Compartment, 1 Slip In Pocket inside the bag, Printed Design, Mesh bottle holder on the side,
Water Resistance Level: Not Water Resistant
Size: 35 x 13 x 46 cms",B08Z1HHHTD,"Ideal for a college student who does not carry a lot of books or laptop to college. Very stylish, slim and feature loaded Backpack",VIP Industries Ltd
Wesley Milestone 2.0 Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Travel Backpack (Dimensions:13x18 inches) (Compatible with 39.62cm(15.6inch laptop) 30 L (Blue & black),598,4.3 out of 5 stars,"11,861",https://www.amazon.in/Wesley-Milestone-Waterproof-Backpack-Business/dp/B084JGJ8PF/ref=ice_ac_b_dpb?crid=2M096C61O4MLT&keywords=bags&qid=1690286169&sprefix=ba%2Caps%2C283&sr=8-5,"30L Capacity: The Backpack has a padded laptop compartment that can fit 15.6 inch laptop. It can also accommodate essentials such as a Lunch box, Charger, Tablet, Books, Power Bank, Wallet, and Sunglass.
Multi-Level Organizer: The backpack has a front zipper pocket for the ID card, Sanitizer, House keys, Pen. First compartment with pockets for the earphones, pens, notebook, Fitness Band. Spacious second compartment for all your electronics.
Ergonomic Design: Thick cushioning around the shoulders and on the back panel makes the backpack super light and comfortable on the move. “S” Shaped shoulder strap distribute the weight of the backpack across your upper body.
Made In India: Wesley Business Casual Backpack is fully manufactured in India and pass through stringent quality tests and checks
1 Year Warranty: The Wesley Business casual backpack comes with 1 year of warranty
Water Resistant Material: Advanced IPX4 coating on the material ensures resistance to water entering from any direction.
› See more product details",B084JGJ8PF,None,
Half Moon Large 37L Laptop Bag Backpack for menं Women Boys and Girls Luggage Travel Bags with 17.3 inches Laptop Compartment & Rain Cover,849,3.9 out of 5 stars,"3,240",https://www.amazon.in/Half-Moon-Backpack-Luggage-Compartment/dp/B09VCLZ3K4/ref=sr_1_6?crid=2M096C61O4MLT&keywords=bags&qid=1690286169&sprefix=ba%2Caps%2C283&sr=8-6,"This lightweight and spacious laptop bag with 3 compartments contains a dedicated 360 degree protected laptop compartment (up to 17""), so you can you can transport your tech with peace of mind. A Spacious second compartment for essentials like books and files, and a third compartment for extra items. Also features padded shoulder straps and side pockets for water bottles.
Carry your books and belongings with ease with this comfortable and durable bagpack! Featuring wide, padded, and adjustable shoulder straps and a padded back, this backpack can handle even heavy loads. Made with strong yet lightweight polyester fabric and heavy-duty zippers, it's built to last. Plus, it comes with a rain cover, perfect for those rainy school or college days.
Make a statement on your next trip with our smart and stylish backpack! With a trendy and athletic design, this multipurpose backpack is the perfect combination of style and adventure. Your trips, travel experience cannot get completed without this amazing trekking backpack.
Experience enduring and long-lasting performance with our backpack! Made with highly durable material, this backpack is suitable for all weather conditions, including heavy rains and extreme heat. It not only keeps your belongings safe but also resists damage to itself. So, don't settle for anything less.
FEATURES: Rain Cover, upto 17 inch Laptop compartment, Internal Organiser(Small Pockets), Strong and durable zippers, Adjustable Shoulder Handles (Straps) , 2 Bottle/Umbrella holders , Padded Handle , Padded Laptop Compartment , Ergonomic Design, Reflector Logo, etc",B09VCLZ3K4,"This backpack is lightweight water-resistant, capacity of approx 37 Ltr, has a soft and ventilated back panel, and is perfect for carrying all your necessities. Adjustable and breathable padded shoulder strap to meet different requirements for both men and women; made from highly rip and water-resistant polyester fabric, provide strengthen and long-lasting performance; roomy enough for your traveling requirements also having a Rain cover.",Amazing Bags
"Half Moon 35 Ltrs Water Resistant 15.6 inch Laptop Bag for Men/Backpack for Men, Navy Blue | Office Bag for Men/Office Bag for Women with Padded Laptop Compartment | Rain Cover & Reflective Strips",649,3.9 out of 5 stars,"16,604",https://www.amazon.in/Half-Moon-Waterproof-Backpack-Students/dp/B085MHDJ93/ref=sr_1_7?crid=2M096C61O4MLT&keywords=bags&qid=1690286169&sprefix=ba%2Caps%2C283&sr=8-7,"Care Instructions: Hand Wash Only
SPACIOUS AND LIGHTWEIGHT: Light weight & spacious laptop bag for men comes with 3 compartments. One is for carrying laptop inside (Upto 17""), with padding for safety, and space for laptop accessories like charger, etc. Second compartment of office bag for men is for books, files & all your day to day essentials. And third compartment of backpack for men is for your extra stuff. Laptop backpacks for men has provision for holding bottles on both sides & has padded shoulder straps for your comfort
COMFORT WITH QUALITY: This backpack for men has Wide, Padded & Adjustable shoulder straps & Padded Back for comfort in carrying heavy items. The laptop bag for men is stitched properly & Bartacks on every pressure point for extra durability. The office bag for men are made with strong yet light weight polyester fabric with heavy zippers. College Bags for men also comes with a Rain cover so that you can travel during rainy season without any problem. This laptop bag can be used by everyone.
SMART & TRENDY LOOKS: This Large backpack for men is smart, trendy and stylish in looks. The multipurpose college bags for men looks smart, athletic and venturesome and the blend of grey and red makes it appear exquisite. Your hiking trips, mountaineering experience cannot get completed without this amazing trekking backpack. PREMIUM FABRIC : Premium Polyester, Stylish and durable backpack for school /college and travel. Easily accommodate a laptop. Size: 45 cm X 31 cm X 22 cm
ENDURING & LONG LASTING LAPTOP BACKPACK: This trekking backpack for men/laptop bag for men is made up of highly durable material, which makes it suitable for all weather conditions including rains & extreme scorching heat. It will not only keep the inside stuff safe but will also resist damage to itself. We have designed the bag keeping your comfort in mind. Shoulder has high density padding, with 3D ventilated air foam padding to prevent sweating & to help you lift heavy objects easily.
OTHER FEATURES OF LAPTOP BAG FOR MEN: The office bag for men / office bag for women has Strong and durable zippers, Adjustable Shoulder Handles (Straps) , 2 Bottle/Umbrella holders , Padded Handle , Padded Laptop Compartment (can carry laptops of size 13, 14, 15.6 & 17 inches), Reflector Logo.",B085MHDJ93,None,Amazing Bags
Half Moon Large 37L Laptop Bag Backpack for menं Women Boys and Girls Luggage Travel Bags with 17.3 inches Laptop Compartment & Rain Cover,849,3.9 out of 5 stars,"3,240",https://www.amazon.in/Half-Moon-Resistant-Backpack-Compartment/dp/B0BJ32LQ6X/ref=sr_1_8?crid=2M096C61O4MLT&keywords=bags&qid=1690286169&sprefix=ba%2Caps%2C283&sr=8-8,"Care Instructions: Hand Wash Only
This lightweight and spacious laptop bag with 3 compartments contains a dedicated 360 degree protected laptop compartment (up to 17""), so you can you can transport your tech with peace of mind. A Spacious second compartment for essentials like books and files, and a third compartment for extra items. Also features padded shoulder straps and side pockets for water bottles.
Carry your books and belongings with ease with this comfortable and durable bagpack! Featuring wide, padded, and adjustable shoulder straps and a padded back, this backpack can handle even heavy loads. Made with strong yet lightweight polyester fabric and heavy-duty zippers, it's built to last. Plus, it comes with a rain cover, perfect for those rainy school or college days.
Make a statement on your next trip with our smart and stylish backpack! With a trendy and athletic design, this multipurpose backpack is the perfect combination of style and adventure. Your trips, travel experience cannot get completed without this amazing trekking backpack.
Experience enduring and long-lasting performance with our backpack! Made with highly durable material, this backpack is suitable for all weather conditions, including heavy rains and extreme heat. It not only keeps your belongings safe but also resists damage to itself. So, don't settle for anything less.
FEATURES: Rain Cover, upto 17 inch Laptop compartment, Internal Organiser(Small Pockets), Strong and durable zippers, Adjustable Shoulder Handles (Straps) , 2 Bottle/Umbrella holders , Padded Handle , Padded Laptop Compartment , Ergonomic Design, Reflector Logo, etc",B0BJ32LQ6X,"This backpack is lightweight water-resistant, capacity of approx 37 Ltr, has a soft and ventilated back panel, and is perfect for carrying all your necessities. Adjustable and breathable padded shoulder strap to meet different requirements for both men and women; made from highly rip and water-resistant polyester fabric, provide strengthen and long-lasting performance; roomy enough for your traveling requirements also having a Rain cover.",Amazing Bags
Gear Classic 20L Faux Leather Water Resistant Anti Theft Laptop Bag/Backpack for Men/Women (Brown),987,4.4 out of 5 stars,"5,922",https://www.amazon.in/Gear-Classic-Leather-Backpack-LBPCLSLTH0201/dp/B07G4F6XFH/ref=sr_1_9?crid=2M096C61O4MLT&keywords=bags&qid=1690286169&sprefix=ba%2Caps%2C283&sr=8-9,"Care Instructions: Hand Wash Only
Outer material: synthetic, color: brown
Waterproof
Capacity: 20 liters; Weight: 560 grams; Dimensions: 48 cms x 32 cms x 14 cms (LxWxH)
Number of compartments: 2
Laptop compatibility: yes, laptop size: 16strap type: adjustable
Anti theft waterproof bag with anti sweat fabric on back and shoulder straps
Show More",B07G4F6XFH,"Gear bags are designed for the quick commute as well for the long journey. these backpacks can be used as laptop bags,adventure bags and so on. Your favorite travel companion, The backpacks come with enough storage space to carry all your requirements.",Gear Merchandise PVT LTD
"American Tourister VALEX BLACK LAPTOP BACKPACK 28 Ltrs,Volume, LAPTOP COMPARTMENT, BOTTLE POCKET, FRONT ORGANIZER","1,299",4.3 out of 5 stars,572,https://www.amazon.in/gp/bestsellers/computers/1375464031/ref=sr_bs_9_1375464031_1,None,B0BTD4S4XF,None,
